ID,CENTER,FY,SIC,NAICS,STATE,PRODUCTS,EC_plant_cost,EC_plant_usage
MZ0107,MZ,2013,3341,331492,MO,Zinc and Aluminum Die Castings,264690,4223500
MZ0108,MZ,2013,3086,326150,MO,Extruded Tubing and Rubber,187201,2638507
MZ0109,MZ,2013,5122,325412,MO,pharmaceuticals,220684,2929200
MZ0110,MZ,2013,3365,331524,MO,aluminum castings,410209,7088400
MZ0111,MZ,2013,3325,331513,MO,steel castings,108081,1557900
MZ0112,MZ,2013,2023,311514,MO,dry and condensed dairy products,510942,10218840
MZ0113,MZ,2013,3519,333618,MO,Remanufactured diesel engines and components,142636,3452650
MZ0114,MZ,2013,3441,332312,MO,Fabricated Structural Steel,57864,837012
MZ0115,MZ,2013,3563,333912,IL,pumps,892538,22638706
MZ0116,MZ,2013,3563,333912,MO,large centrifugal pumps and compressors,62742,848842
MZ0118,MZ,2013,3544,331511,MO,molds and dies,127935,1974900
MZ0119,MZ,2013,2873,325314,MO,compost potting,30862,432728
MZ0120,MZ,2013,3365,331315,MO,aluminum castings,518870,7041600
MZ0121,MZ,2013,3351,331420,MO,Insulated copper wire,342326,10134600
MZ0122,MZ,2013,2657,322212,MO,Milk Cartons,114856,3819600
MZ0124,MZ,2013,3714,336340,MO,automotive braking systems,153204,2554942
MZ0125,MZ,2013,3711,336211,MO,vehicle frames and body,34137,475840
MZ0126,MZ,2013,3341,331314,MO,Recycled metals,120963,3076484
MZ0127,MZ,2013,2844,325620,MO,"shampoo, personal care products",1393003,23623200
MZ0128,MZ,2013,3715,336212,MO,Truck Tank Trailer,205587,3033200
MZ0129,MZ,2013,3743,336510,AR,railroad tank cars,1087881,22353940
MZ0130,MZ,2013,3629,333414,MO,Electrica heaters and equipment,280287,3241540
MZ0131,MZ,2013,3089,326199,MO,Injection Molding,524738,8622900
MZ0132,MZ,2013,2032,311422,MO,Beverages,541778,13498824
MZ0133,MZ,2013,3089,326199,MO,Plastic Injection Molding,1112057,27892064
MZ0134,MZ,2013,3443,332420,MO,Stainless Steel Tanks,373751,8797752
MZ0135,MZ,2014,3089,326199,MO,Injection Molded Plastic Components,507700,7855100
MZ0136,MZ,2014,2013,311119,MO,hot dogs,2304280,25026393
MZ0137,MZ,2014,3714,336390,MO,brake cables,195604,2772468
MZ0138,MZ,2014,3452,332721,MO,"fasteners, machined parts",101476,1373400
MZ0139,MZ,2014,3949,339920,MO,sportings goods,264969,4343760
MZ0141,MZ,2014,2045,311812,MO,frozen dough,2481084,31677111
MZ0142,MZ,2014,3541,333517,MO,machine tools,873498,19294880
