id,center,fy,sic,naics,state,products,ec_plant_cost,ec_plant_usage
DL0082,DL,2012,2869.0,325199.0,DE,Heterocyclic Hydrocarbons,135625.0,1144465.0
DL0083,DL,2012,2395.0,314999.0,MD,Embroidered emblems,93513.0,647520.0
DL0084,DL,2012,3463.0,332112.0,MD,Aluminium Horse Shoe,140833.0,1052100.0
DL0085,DL,2012,3554.0,333243.0,MD,capital equipment fo the corrugated box industry,752528.0,6046950.0
DL0086,DL,2012,3411.0,332431.0,MD,Metal Cans,127524.0,1350000.0
DL0087,DL,2012,3996.0,326199.0,NJ,"Resilient Floors, Tile, Vinyl",3671949.0,42596959.0
DL0088,DL,2012,3599.0,339999.0,DE,Silicon and Boron Carbide Composite,908507.0,11525766.0
DL0089,DL,2012,2891.0,325520.0,NJ,Aerospace Sealants,92479.0,645240.0
DL0090,DL,2012,2095.0,311920.0,NJ,Coffee,228207.0,1944083.0
DL0091,DL,2012,2679.0,322211.0,NJ,Corrugated paper sheets,208287.0,1810200.0
DL0092,DL,2012,2865.0,325130.0,DE,DPP and QA crude pigments,1486707.0,22094558.0
DL0093,DL,2012,3499.0,332999.0,MD,Aluminium Enclosures,100225.0,1043647.0
DL0094,DL,2012,3566.0,333612.0,DE,speed increasers/decreasers,62029.0,546640.0
DL0095,DL,2012,2653.0,322211.0,MD,corrugated containers,348593.0,6376610.0
DL0096,DL,2012,3661.0,334418.0,MD,Circuit Boards,176130.0,1535988.0
DL0097,DL,2012,5044.0,423420.0,NJ,High speed mailroom automation equipment,380754.0,2714100.0
DL0098,DL,2012,2893.0,325910.0,DE,Ink and Dye,179361.0,2892932.0
DL0099,DL,2012,4952.0,221320.0,MD,Clean Water,201532.0,2467200.0
DL0100,DL,2013,3999.0,326199.0,DE,vinyl windows and sliding doors,102678.0,1060151.0
DL0101,DL,2013,2066.0,311351.0,DE,Cocoa Products,131608.0,1175079.0
DL0102,DL,2013,2834.0,325412.0,DE,Custom Pharmaceutical,597520.0,4350320.0
DL0103,DL,2013,5075.0,333415.0,DE,cooling towers,305486.0,4898880.0
DL0104,DL,2013,3613.0,334111.0,NJ,Secured Electronic Systems,2340268.0,19508613.0
DL0105,DL,2013,5169.0,424690.0,DE,Chemicals,1536726.0,16922334.0
DL0106,DL,2013,2711.0,511110.0,NJ,Digital Media,3544569.0,39392478.0
DL0107,DL,2013,2834.0,311422.0,NJ,Pharmaceuticals,1529259.0,10945040.0
DL0108,DL,2013,3089.0,326199.0,PA,PTFE Powders,149831.0,2433501.0
DL0109,DL,2013,4952.0,221320.0,DE,wastewater,728236.0,8748600.0
DL0110,DL,2013,3535.0,333922.0,NJ,conveyors and accumulation tables,76847.0,660080.0
DL0111,DL,2013,2048.0,311119.0,DE,poultry feed,323466.0,4989600.0
DL0112,DL,2013,2819.0,339999.0,NJ,Zirconium-based chemicals,442900.0,3750000.0
DL0113,DL,2013,2032.0,311422.0,DE,Fresh and frozen seafood,826412.0,8563200.0
DL0114,DL,2013,3496.0,332618.0,MD,"Wire cloth, metal belting",346133.0,5069553.0
DL0115,DL,2013,2399.0,314999.0,NJ,Parachutes,107367.0,696380.0
DL0116,DL,2013,2295.0,325211.0,NJ,Resin and Plastic Coated Fabrics,259705.0,2330800.0
DL0117,DL,2013,7211.0,812331.0,MD,Laundry,671772.0,5033700.0
DL0118,DL,2013,2821.0,325211.0,DE,Rigid Plastics,966000.0,13500582.0
DL0119,DL,2013,4961.0,221330.0,MD,Power and Steam,781227.0,13020442.0
DL0120,DL,2014,182.0,111411.0,MD,Mushrooms,785939.0,8664000.0
DL0121,DL,2014,2711.0,323111.0,PA,newspapers,340497.0,4835645.0
DL0122,DL,2014,3999.0,221330.0,MD,Utility Plant,2681559.0,37961072.0
DL0123,DL,2014,3678.0,334417.0,NJ,Cable Assembly,98070.0,556542.0
DL0124,DL,2014,3841.0,339112.0,NJ,Precision Machined Parts,56768.0,446000.0
DL0125,DL,2014,3297.0,327110.0,NJ,Aerospace Core Ceramics,488000.0,3944000.0
DL0126,DL,2014,2821.0,325211.0,PA,Vinyl Ester and Polyester,290138.0,3707663.0
DL0127,DL,2014,2038.0,311412.0,NJ,Eggo Waffles,1475200.0,13190399.0
DL0128,DL,2014,2821.0,325211.0,DE,Polyvinyl Chloride Resin,2906828.0,42054712.0
DL0129,DL,2014,7999.0,713210.0,DE,Entertainment,1040075.0,11698400.0
DL0130,DL,2014,4952.0,221320.0,DE,Wastewater treatment,465906.0,4695356.0
DL0131,DL,2014,2389.0,315280.0,MD,Clothing,56549.0,509000.0
DL0132,DL,2014,3083.0,326130.0,DE,Composite Parts & Laminates,81299.0,618785.0
DL0133,DL,2014,3086.0,326140.0,MD,Polystyrene products,316091.0,2791600.0
DL0134,DL,2014,2822.0,325199.0,DE,Silicone rubber composites and adhesives,673019.0,7488041.0
DL0135,DL,2014,3721.0,336411.0,DE,"Protective masks, enclosures, space suits and aerostats",393213.0,4807288.0
DL0136,DL,2014,2952.0,324122.0,DE,Asphalt shingles,535934.0,5379402.0
DL0137,DL,2014,2082.0,312120.0,DE,Beer and Soda,76383.0,680560.0
DL0138,DL,2015,2064.0,311340.0,NJ,Licorice Extract,676179.0,8016000.0
DL0139,DL,2015,3081.0,326113.0,DE,Plastics Packaging,46461.0,839135.0
DL0140,DL,2015,2051.0,311812.0,NJ,Baked Products,1000182.0,9676000.0
DL0141,DL,2015,3412.0,332431.0,MD,Specialty Cans,916010.0,8430700.0
DL0142,DL,2015,3231.0,327215.0,NJ,Glass Doors,90988.0,1353718.0
DL0143,DL,2015,2869.0,325110.0,PA,Cellulosic Sugar,78421.0,930048.0
DL0144,DL,2015,3089.0,326121.0,PA,Polymer Materials,1293567.0,15084270.0
DL0145,DL,2015,3089.0,326121.0,NJ,Plastics,1233839.0,11371830.0
DL0146,DL,2015,3399.0,331110.0,PA,Flat Rolled Steel,169981.0,2024400.0
DL0147,DL,2015,2086.0,312111.0,NJ,Soft Drinks,369786.0,3601122.0
DL0148,DL,2015,2732.0,323117.0,DE,Printed Books,2921583.0,28489800.0
DL0149,DL,2015,3677.0,334416.0,NJ,Magnetic Metal Components,212140.0,1850226.0
DL0150,DL,2015,2652.0,322219.0,PA,Paper Products,125676.0,1721584.0
DL0151,DL,2015,2035.0,311941.0,MD,Pickles/Peppers/Sauces,380327.0,4756144.0
